Codigo,Descripcion,DAI,ISC,IVA,Nota_Referencia,Exento_IVA,Keywords_Sugeridas
0105.14.00.00.00,"GALLOS, GALLINAS, PATOS, GANSOS, PAVOS (GALLIPAVOS) Y PINTADAS, DE LAS ESPECIES DOMÉSTICAS, VIVOS > Gansos",0.1,0.0,0.0,,Sí,"Aves, Ganadería, Animales vivos, Comercio avícola, Producción avícola"
0105.15.00.00.00,"GALLOS, GALLINAS, PATOS, GANSOS, PAVOS (GALLIPAVOS) Y PINTADAS, DE LAS ESPECIES DOMÉSTICAS, VIVOS > Pintadas",0.1,0.0,0.0,,Sí,"Aves, Ganado, Animales vivos, Aves de corral, Pollos"
0105.94.00.00.00,"GALLOS, GALLINAS, PATOS, GANSOS, PAVOS (GALLIPAVOS) Y PINTADAS, DE LAS ESPECIES DOMÉSTICAS, VIVOS > Aves de la especie Gallus domesticus",0.1,0.0,0.0,,Sí,"Aves domésticas, aves de corral, aves vivas, ganado avícola, aves de granja."
0105.99.00.00.10,"GALLOS, GALLINAS, PATOS, GANSOS, PAVOS (GALLIPAVOS) Y PINTADAS, DE LAS ESPECIES DOMÉSTICAS, VIVOS > Mascotas",0.1,0.0,0.15,,No,"Aves de corral, aves domésticas, animales de granja, aves vivas, mascotas avícolas."
0105.99.00.00.90,"GALLOS, GALLINAS, PATOS, GANSOS, PAVOS (GALLIPAVOS) Y PINTADAS, DE LAS ESPECIES DOMÉSTICAS, VIVOS > Otros",0.1,0.0,0.15,,No,"Aves, Ganado, Animales vivos, Aves de corral, Pollos"
0106.11.00.00.00,LOS DEMÁS ANIMALES VIVOS > Primates,0.1,0.0,0.15,,No,"Primates, Animales exóticos, Fauna silvestre, Animales de compañía, Animales de zoológico"
0106.12.00.00.00,"LOS DEMÁS ANIMALES VIVOS > Ballenas, delfines y marsopas (mamíferos del orden Cetácea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)",0.1,0.0,0.15,,No,"Cetáceos, mamíferos marinos, fauna acuática, vida marina, animales salvajes."
0106.13.00.00.00,LOS DEMÁS ANIMALES VIVOS > Camellos y demás camélidos (Camelidae),0.1,0.0,0.15,,No,"Camellos, camélidos, animales vivos, comercio de animales, importación de camellos."
0106.14.00.00.00,LOS DEMÁS ANIMALES VIVOS > Conejos y liebres,0.1,0.0,0.15,,No,"Conejos, liebres, animales vivos, mascotas, ganado"
0106.19.00.00.00,LOS DEMÁS ANIMALES VIVOS > Los demás,0.1,0.0,0.15,,No,"Animales exóticos, animales de compañía, fauna silvestre, animales de granja, mascotas."
0106.20.00.00.00,LOS DEMÁS ANIMALES VIVOS > Reptiles (incluidas las serpientes y tortugas de mar),0.1,0.0,0.15,,No,"Reptiles, Serpientes, Tortugas, Animales exóticos, Fauna salvaje"
0106.31.00.00.00,LOS DEMÁS ANIMALES VIVOS > Aves de rapiña,0.1,0.0,0.15,,No,"Aves rapaces, aves de presa, aves carnívoras, aves depredadoras, fauna silvestre."
0106.32.00.00.00,"LOS DEMÁS ANIMALES VIVOS > Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)",0.1,0.0,0.15,,No,"Aves exóticas, loros, guacamayos, cacatúas, psitácidos."
0106.33.00.00.00,LOS DEMÁS ANIMALES VIVOS > Avestruces; emúes (Dromaius novaehollandiae),0.1,0.0,0.15,,No,"Aves, animales exóticos, aves de corral, fauna silvestre, comercio de animales"
0106.39.00.00.00,LOS DEMÁS ANIMALES VIVOS > Las demás,0.1,0.0,0.15,,No,"animales vivos, fauna, animales exóticos, mascotas, comercio de animales"
0106.41.00.00.00,LOS DEMÁS ANIMALES VIVOS > Abejas,0.0,0.0,0.0,,Sí,"Abejas, Insectos, Polinizadores, Animales vivos, Apicultura"
0106.49.00.00.00,LOS DEMÁS ANIMALES VIVOS > Los demás,0.1,0.0,0.15,,No,"Animales exóticos, animales de compañía, fauna silvestre, animales de granja, mascotas."
0106.90.00.00.10,LOS DEMÁS ANIMALES VIVOS > Mascotas,0.1,0.0,0.15,,No,"Mascotas, animales de compañía, animales domésticos, fauna, mascotas exóticas."
0106.90.00.00.90,LOS DEMÁS ANIMALES VIVOS > Otros _______________ 3,0.1,0.0,0.15,,No,"animales exóticos, fauna silvestre, mascotas, animales de compañía, animales de granja"
0201.10.00.00.00,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA > En canales o medias canales I",0.0,0.0,0.0,II,No,"carne bovina, carne fresca, carne refrigerada, canales de carne, productos cárnicos"
0201.20.00.00.11,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA > De los tipos denominados “prime” y “choise”",0.0,0.0,0.0,II,No,"carne bovina, carne fresca, carne refrigerada, carne de res, cortes premium"
0201.20.00.00.19,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA > Los demás I",0.0,0.0,0.0,II,No,"carne bovina, carne fresca, carne refrigerada, productos cárnicos, carne de res"
0201.20.00.00.91,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA > De los tipos denominados “prime” y “choise”",0.0,0.0,0.0,II,No,"carne bovina, carne fresca, carne refrigerada, carne de res, cortes premium"
0201.20.00.00.99,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA > Los demás I",0.0,0.0,0.0,II,No,"carne bovina, carne fresca, carne refrigerada, productos cárnicos, carne de res"
0201.30.00.00.11,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA > De los tipos denominados “prime” y “choise”",0.0,0.0,0.0,II,No,"carne bovina, carne fresca, carne refrigerada, carne de res, cortes premium"
0201.30.00.00.19,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA > Los demás I",0.0,0.0,0.0,I,No,"carne bovina, carne fresca, carne refrigerada, productos cárnicos, carne de res"
0201.30.00.00.91,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA > De los tipos denominados “prime” y “choise”",0.0,0.0,0.0,II,No,"carne bovina, carne fresca, carne refrigerada, carne de res, cortes premium"
0201.30.00.00.92,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA > Posta de pierna",0.0,0.0,0.0,II,No,"Carne de res, Carne fresca, Carne refrigerada, Posta de res, Carne bovina"
0201.30.00.00.99,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA > Los demás 4",0.0,0.0,0.0,II,No,"carne bovina, carne fresca, carne refrigerada, carne de res, productos cárnicos"
0202.10.00.00.00,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA > En canales o medias canales I",0.3,0.0,0.15,II,No,"carne bovina, carne congelada, canales de carne, productos cárnicos, comercio de carne"
0202.20.00.00.11,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA > De los tipos denominados “prime” y “choise”",0.3,0.0,0.15,II,No,"carne bovina congelada, carne de res premium, carne de res de calidad, carne de res choise, carne de res prime"
0202.20.00.00.19,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA > Los demás I",0.3,0.0,0.15,II,No,"carne bovina congelada, carne de res congelada, carne de res, productos cárnicos congelados, carne congelada"
0202.20.00.00.91,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA > De los tipos denominados “prime” y “choise”",0.3,0.0,0.15,II,No,"carne bovina, carne congelada, carne de res, cortes premium, carne de calidad"
0202.20.00.00.99,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA > Los demás I",0.3,0.0,0.15,II,No,"carne congelada, carne bovina, productos cárnicos, carne de res, importación de carne"
0202.30.00.00.11,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA > De los tipos denominados “prime” y “choise”",0.3,0.0,0.15,II,No,"carne bovina, carne congelada, carne prime, carne choice, productos cárnicos"
0202.30.00.00.19,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA > Los demás I",0.3,0.0,0.15,II,No,"carne congelada, carne bovina, carne de res, productos cárnicos, importación de carne"
0202.30.00.00.91,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA > De los tipos denominados “prime” y “choise”",0.3,0.0,0.15,II,No,"carne bovina, carne congelada, carne prime, carne choice, productos cárnicos"
0202.30.00.00.92,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA > Posta de pierna",0.3,0.0,0.0,II,Sí,"Carne congelada, Carne bovina, Posta de pierna, Productos cárnicos, Importación de carne"
0202.30.00.00.99,"CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA > Los demás I",0.3,0.0,0.15,I,No,"carne congelada, carne bovina, productos cárnicos, carne de res, importación de carne"
0203.11.00.00.00,"CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA > En canales o medias canales",0.15,0.0,0.15,II,No,"Cerdo, carne de cerdo, carne fresca, carne refrigerada, carne congelada."
0203.12.00.00.00,"CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA > Jamones, paletas y sus trozos, sin deshuesar I",0.15,0.0,0.15,II,No,"Carne de cerdo, Jamones, Paletas, Productos cárnicos, Carne fresca"
0203.19.00.00.10,"CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA > Lomos y filetes",0.15,0.0,0.15,II,No,"Cerdo, carne de cerdo, lomo de cerdo, filete de cerdo, carne fresca de cerdo."
0203.19.00.00.20,"CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA > Posta de pierna",0.15,0.0,0.0,II,Sí,"Carne de cerdo, Carne fresca, Carne refrigerada, Carne congelada, Posta de cerdo"
0203.19.00.00.90,"CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA > Otras I",0.15,0.0,0.15,I,No,"Cerdo, carne de cerdo, carne fresca, carne congelada, carne refrigerada."
0203.21.00.00.00,"CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA > En canales o medias canales",0.15,0.0,0.15,II,No,"Carne de cerdo, Carne fresca, Carne refrigerada, Carne congelada, Canales de cerdo"
0203.22.00.00.00,"CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA > Jamones, paletas y sus trozos, sin deshuesar I",0.15,0.0,0.15,II,No,"Cerdo, jamón, paleta, carne fresca, carne congelada"
0203.29.00.00.10,"CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA > Lomos y filetes",0.15,0.0,0.15,II,No,"Cerdo, carne de cerdo, lomo de cerdo, filete de cerdo, carne fresca."
0203.29.00.00.20,"CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA > Posta de pierna",0.15,0.0,0.0,II,Sí,"Carne de cerdo, Carne fresca, Carne refrigerada, Carne congelada, Posta de cerdo"
0203.29.00.00.90,"CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA > Otros I",0.15,0.0,0.15,I,No,"Cerdo, carne de cerdo, carne fresca, carne congelada, carne refrigerada."
0204.10.00.00.00,"CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA > Canales o medias canales, de cordero, frescas o refrigeradas",0.15,0.0,0.15,,No,"Cordero, carne ovina, carne fresca, carne refrigerada, carne congelada"
0204.21.00.00.00,"CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA > En canales o medias canales",0.15,0.0,0.15,,No,"Cordero, Cabra, Carne fresca, Carne congelada, Carne refrigerada"
0204.22.00.00.00,"CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA > Los demás cortes (trozos) sin deshuesar",0.15,0.0,0.15,,No,"Cortes de carne, Carne ovina, Carne caprina, Carne fresca, Carne congelada"
0204.23.00.00.00,"CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA > Deshuesadas",0.15,0.0,0.15,,No,"Cordero, Cabra, Carne fresca, Carne congelada, Carne refrigerada"
0204.30.00.00.00,"CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA > Canales o medias canales, de cordero, congeladas",0.15,0.0,0.15,,No,"Cordero, carne ovina, carne congelada, productos cárnicos, canales de cordero."
0204.41.00.00.00,"CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA > En canales o medias canales",0.15,0.0,0.15,,No,"Cordero, Cabra, Carne fresca, Carne congelada, Carne refrigerada"
0204.42.00.00.00,"CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA > Los demás cortes (trozos) sin deshuesar",0.15,0.0,0.15,,No,"Cortes de carne, Carne ovina, Carne caprina, Carne fresca, Carne congelada"
0204.43.00.00.00,"CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA > Deshuesadas",0.15,0.0,0.15,,No,"Cordero, Cabra, Carne fresca, Carne congelada, Carne refrigerada"
0204.50.00.00.00,"CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA > Carne de animales de la especie caprina",0.15,0.0,0.15,,No,"Carne de cabra, carne de chivo, carne ovina, carne fresca, carne congelada"
0205.00.00.00.00,"CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA > Carne de animales de la especie caprina > CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR, FRESCA, REFRIGERADA O CONGELADA",0.15,0.0,0.15,,No,"Carne de cabra, carne de oveja, carne fresca, carne congelada, carne refrigerada."
0206.21.00.00.00,"DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, 5 > Lenguas",0.0,0.0,0.0,II,No,"Despojos, vísceras, subproductos, carne, alimentos para animales."
0206.22.00.00.00,"DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, 5 > Hígados",0.0,0.0,0.0,II,No,"Subproductos, vísceras, despojos, carne, alimentos para animales."
0206.29.00.00.00,"DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, 5 > Los demás I",0.0,0.0,0.0,II,No,"subproductos cárnicos, desechos animales, residuos comestibles, productos secundarios, ingredientes alimentarios"
0206.30.10.00.00,"DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, 5 > Piel",0.0,0.0,0.0,II,No,"Subproductos, desechos, derivados, pieles, residuos."
0206.30.90.00.00,"DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, 5 > Otros I",0.0,0.0,0.0,I,No,"Subproductos, residuos, derivados, ingredientes, materias primas."
0206.41.00.00.00,"DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, 5 > Hígados I",0.0,0.0,0.0,I,No,"subproductos cárnicos, vísceras, despojos animales, hígados comestibles, productos cárnicos secundarios"
0206.49.10.00.00,"DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, 5 > Piel",0.0,0.0,0.0,II,No,"Subproductos, desechos, pieles, derivados, materias primas."
0206.49.90.00.00,"DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, 5 > Otros",0.0,0.0,0.0,II,No,"Subproductos cárnicos, desechos animales, residuos comestibles, productos secundarios, ingredientes cárnicos."
0206.80.00.00.00,"DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, 5 > Los demás, frescos o refrigerados",0.0,0.0,0.0,II,No,"subproductos cárnicos, despojos frescos, vísceras, carne refrigerada, productos de origen animal"
0206.90.00.00.00,"DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, 5 > Los demás, congelados I",0.0,0.0,0.0,I,No,"subproductos cárnicos, desechos alimentarios, carne congelada, productos de origen animal, residuos comestibles"
0207.11.00.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Sin trocear, frescos o refrigerados",0.0,0.0,0.0,II,No,"Aves, Pollo, Carne fresca, Despojos, Productos avícolas"
0207.12.00.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Sin trocear, congelados I",0.0,0.0,0.0,II,No,"Aves, Pollo, Carne congelada, Despojos comestibles, Productos avícolas"
0207.13.10.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > En pasta, deshuesados mecánicamente",0.0,0.0,0.0,,No,"Aves, carne, despojos, productos avícolas, alimentos congelados."
0207.13.91.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Pechugas",0.0,0.0,0.0,II,No,"Aves, Pollo, Pechugas, Carne de ave, Productos avícolas"
0207.13.92.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Alas",0.0,0.0,0.0,II,No,"Aves, Pollo, Carne de ave, Alas de pollo, Despojos comestibles"
0207.13.93.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Muslos, piernas, incluso unidos",0.0,0.0,0.0,II,No,"Aves, carne de pollo, muslos de ave, productos avícolas, despojos comestibles"
0207.13.94.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Muslos, piernas, que incluyan en su presentación otros II 164 0 E trozos, incluso unidos",0.0,0.0,0.0,II,No,"Aves, carne de pollo, muslos de ave, productos avícolas, despojos comestibles."
0207.13.99.00.10,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > completos en trozos",0.0,0.0,0.0,II,No,"pollo, ave, carne fresca, carne congelada, despojos comestibles"
0207.13.99.00.90,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Otros I",0.0,0.0,0.0,II,No,"Aves, Pollo, Carne, Despojos, Productos avícolas"
0207.14.10.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > En pasta, deshuesados mecánicamente",0.0,0.0,0.0,,No,"Aves, carne, despojos, productos avícolas, alimentos congelados"
0207.14.91.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Pechugas",0.0,0.0,0.0,II,No,"Aves, Pollo, Pechugas, Carne, Despojos"
0207.14.92.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Alas",0.0,0.0,0.0,II,No,"Aves, Pollo, Alas, Carne, Despojos"
0207.14.93.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Muslos, piernas, incluso unidos",0.0,0.0,0.0,II,No,"Aves, carne de pollo, muslos de ave, productos avícolas, despojos comestibles"
0207.14.94.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Muslos, piernas, que incluyan en su presentación otros II 164 0 E trozos, incluso unidos",0.0,0.0,0.0,II,No,"Aves, carne de pollo, muslos de ave, productos avícolas, despojos comestibles."
0207.14.99.00.10,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Completos en trozos",0.0,0.0,0.0,II,No,"Aves, Pollo, Carne de ave, Despojos, Productos avícolas"
0207.14.99.00.90,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Otros I",0.0,0.0,0.0,I,No,"Aves, Pollo, Carne, Despojos, Productos avícolas"
0207.24.00.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Sin trocear, frescos o refrigerados",0.0,0.0,0.0,II,No,"Aves, carne, despojos, frescos, refrigerados"
0207.25.00.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Sin trocear, congelados I",0.0,0.0,0.0,II,No,"Aves, Pollo, Carne congelada, Despojos comestibles, Productos avícolas"
0207.26.10.00.00,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > En pasta, deshuesados mecánicamente",0.0,0.0,0.0,,No,"Aves, carne, despojos, productos avícolas, alimentos congelados."
0207.26.90.00.10,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Pechuga deshuesada",0.0,0.0,0.0,II,No,"Aves, Pollo, Pechuga, Carne, Despojos"
0207.26.90.00.20,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Pierna deshuesada",0.0,0.0,0.0,II,No,"Aves, Pollo, Carne, Despojos, Congelados"
0207.26.90.00.30,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Carne molida",0.0,0.0,0.0,II,No,"Pollo, carne picada, aves, productos avícolas, carne congelada."
0207.26.90.00.40,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Trozos con hueso",0.0,0.0,0.0,II,No,"Aves, Pollo, Carne, Despojos, Productos cárnicos"
0207.26.90.00.90,"CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS > Otros 6",0.0,0.0,0.0,II,No,"Aves, Pollo, Carne, Despojos, Productos avícolas"
